"id","name","pattern","primary_muscle","primary_region","secondary_muscles","cns_load","skill_level","compound","is_complex_lift","is_unilateral","metric_type","discipline_tags","equipment_tags","description","coaching_cues","substitution_group","user_id","primary_discipline","tags","fatigue_factor","stimulus_factor","injury_risk_factor","min_recovery_hours"
"103","Cable Crunch","core","core","full body","[]","moderate","intermediate","False","False","False","time","['strength']","['cable']","Crunch performed with a cable machine","['Kneel below a high pulley that contains a rope attachment.', 'Grasp cable rope attachment and lower the rope until your hands are placed next to your face.', 'Flex your hips slightly and allow the weight to hyperextend the lower back. This will be your starting position.', 'With the hips stationary, flex the waist as you contract the abs so that the elbows travel towards the middle of the thighs. Exhale as you perform this portion of the movement and hold the contraction for a second.', 'Slowly return to the starting position as you inhale. Tip: Make sure that you keep constant tension on the abs throughout the movement. Also, do not choose a weight so heavy that the lower back handles the brunt of the work.', 'Repeat for the recommended amount of repetitions.']","crunch","","All","[]","0.4","0.6","0.4","24"
"104","Cable Deadlifts","hinge","quadriceps","anterior lower","['forearms', 'glutes', 'hamstrings', 'lower_back']","high","intermediate","True","True","False","reps","['strength']","['cable']","","['Move the cables to the bottom of the towers and select an appropriate weight. Stand directly in between the uprights.', 'To begin, squat down be flexing your hips and knees until you can reach the handles.', 'After grasping them, begin your ascent. Driving through your heels extend your hips and knees keeping your hands hanging at your side. Keep your head and chest up throughout the movement.', 'After reaching a full standing position, Return to the starting position and repeat.']","deadlifts","","All","[]","0.7999999999999999","1.0","0.6000000000000001","48"
"109","Cable Reverse Crunch","core","core","full body","[]","moderate","intermediate","False","False","False","time","['strength']","['cable']","","['Connect an ankle strap attachment to a low pulley cable and position a mat on the floor in front of it.', 'Sit down with your feet toward the pulley and attach the cable to your ankles.', 'Lie down, elevate your legs and bend your knees at a 90-degree angle. Your legs and the cable should be aligned. If not, adjust the pulley up or down until they are.', 'With your hands behind your head, bring your knees inward to your torso and elevate your hips off the floor.', 'Pause for a moment and in a slow and controlled manner drop your hips and bring your legs back to the starting 90-degree angle. You should still have tension on your abs in the resting position.', 'Repeat the same movement to failure.']","reverse_crunch","","All","[]","0.4","0.6","0.4","24"
"384","Dumbbell Bench Presses","vertical_push","chest","upper body","[]","moderate","intermediate","True","False","False","reps","[]","[]","","[]","","","CrossFit","[]","0.6","0.8","0.4","48"
"1","Back Squat","squat","quadriceps","anterior lower","['glutes', 'hamstrings', 'core']","very_high","intermediate","True","False","False","reps","['powerlifting', 'strength']","['barbell', 'rack']","","[]","squat_bilateral","","All","[]","1.0","0.95","0.4","72"
"2","Front Squat","squat","quadriceps","anterior lower","['glutes', 'core', 'upper_back']","high","advanced","True","False","False","reps","['olympic', 'strength']","['barbell', 'rack']","","[]","squat_bilateral","","All","[]","0.7999999999999999","0.95","0.6","48"
"3","Goblet Squat","squat","quadriceps","anterior lower","['glutes', 'core']","moderate","beginner","True","False","False","reps","['strength', 'hypertrophy']","['dumbbell', 'kettlebell']","","[]","squat_bilateral","","All","[]","0.6","0.8","0.2","48"
"4","Pistol Squat","squat","quadriceps","anterior lower","['glutes', 'hip_flexors', 'core']","moderate","expert","True","False","True","reps","['calisthenics', 'athleticism']","['bodyweight']","","[]","squat_unilateral","","All","[]","0.6","0.8","0.9","48"
"5","Bulgarian Split Squat","lunge","quadriceps","anterior lower","['glutes', 'hamstrings']","moderate","intermediate","True","False","True","reps","['strength', 'hypertrophy']","['dumbbell', 'barbell', 'bodyweight']","","[]","lunge","","All","[]","0.6","0.8","0.5","48"
"6","Walking Lunge","lunge","quadriceps","anterior lower","['glutes', 'hamstrings']","moderate","beginner","True","False","True","reps","['athleticism', 'hypertrophy']","['dumbbell', 'bodyweight']","","[]","lunge","","All","[]","0.6","0.8","0.30000000000000004","48"
"7","Conventional Deadlift","hinge","hamstrings","posterior lower","['glutes', 'lower_back', 'lats', 'forearms']","very_high","intermediate","True","False","False","reps","['powerlifting', 'strength']","['barbell']","","[]","deadlift","","All","[]","1.0","0.95","0.4","72"
"8","Romanian Deadlift","hinge","hamstrings","posterior lower","['glutes', 'lower_back']","high","intermediate","True","False","False","reps","['strength', 'hypertrophy']","['barbell', 'dumbbell']","","[]","rdl","","All","[]","0.7999999999999999","0.95","0.4","48"
"9","Single Leg Romanian Deadlift","hinge","hamstrings","posterior lower","['glutes', 'core']","moderate","intermediate","True","False","True","reps","['athleticism', 'hypertrophy']","['dumbbell', 'kettlebell', 'bodyweight']","","[]","rdl_unilateral","","All","[]","0.6","0.8","0.5","48"
"10","Hip Thrust","hinge","glutes","posterior lower","['hamstrings']","moderate","beginner","True","False","False","reps","['hypertrophy', 'athleticism']","['barbell', 'dumbbell']","","[]","hip_extension","","All","[]","0.6","0.8","0.2","48"
"11","Good Morning","hinge","hamstrings","posterior lower","['glutes', 'lower_back']","high","advanced","True","False","False","reps","['powerlifting', 'strength']","['barbell']","","[]","good_morning","","All","[]","0.7999999999999999","0.95","0.6","48"
"12","Kettlebell Swing","hinge","glutes","posterior lower","['hamstrings', 'core', 'lats']","moderate","intermediate","True","False","False","reps","['athleticism', 'endurance']","['kettlebell']","","[]","kb_swing","","All","[]","0.6","0.8","0.4","48"
"13","Barbell Bench Press","horizontal_push","chest","anterior upper","['front_delts', 'triceps']","high","intermediate","True","False","False","reps","['powerlifting', 'strength']","['barbell', 'bench']","","[]","bench_press","","All","[]","0.7999999999999999","0.95","0.4","48"
"14","Incline Bench Press","horizontal_push","chest","anterior upper","['front_delts', 'triceps']","high","intermediate","True","False","False","reps","['hypertrophy', 'strength']","['barbell', 'dumbbell', 'bench']","","[]","incline_press","","All","[]","0.7999999999999999","0.95","0.4","48"
"15","Dumbbell Chest Press","horizontal_push","chest","anterior upper","['front_delts', 'triceps']","moderate","beginner","True","False","False","reps","['hypertrophy']","['dumbbell', 'bench']","","[]","bench_press","","All","[]","0.6","0.8","0.2","48"
"16","Push-Up","horizontal_push","chest","anterior upper","['front_delts', 'triceps', 'core']","low","beginner","True","False","False","reps","['calisthenics', 'endurance']","['bodyweight']","","[]","push_up","","All","[]","0.4","0.8","0.2","24"
"17","Dip","horizontal_push","chest","anterior upper","['triceps', 'front_delts']","moderate","intermediate","True","False","False","reps","['calisthenics', 'strength']","['bodyweight', 'dip_station']","","[]","dip","","All","[]","0.6","0.8","0.4","48"
"18","Overhead Press","vertical_push","front_delts","shoulder","['triceps', 'side_delts', 'core']","high","intermediate","True","False","False","reps","['strength', 'powerlifting']","['barbell']","","[]","ohp","","All","[]","0.7999999999999999","0.95","0.4","48"
"19","Dumbbell Shoulder Press","vertical_push","front_delts","shoulder","['triceps', 'side_delts']","moderate","beginner","True","False","False","reps","['hypertrophy']","['dumbbell']","","[]","ohp","","All","[]","0.6","0.8","0.2","48"
"20","Pike Push-Up","vertical_push","front_delts","shoulder","['triceps', 'core']","low","intermediate","True","False","False","reps","['calisthenics']","['bodyweight']","","[]","pike_press","","All","[]","0.4","0.8","0.4","24"
"21","Handstand Push-Up","vertical_push","front_delts","shoulder","['triceps', 'core', 'upper_back']","moderate","elite","True","True","False","reps","['calisthenics', 'athleticism']","['bodyweight']","","[]","hspu","","All","[]","0.6","0.8500000000000001","1.0","48"
"22","Barbell Row","horizontal_pull","lats","posterior upper","['upper_back', 'rear_delts', 'biceps']","high","intermediate","True","False","False","reps","['strength', 'powerlifting']","['barbell']","","[]","row_bilateral","","All","[]","0.7999999999999999","0.95","0.4","48"
"23","Single Arm Row","horizontal_pull","lats","posterior upper","['upper_back', 'rear_delts', 'biceps']","moderate","beginner","True","False","True","reps","['hypertrophy']","['dumbbell', 'cable', 'kettlebell']","","[]","row_unilateral","","All","[]","0.6","0.8","0.30000000000000004","48"
"24","Seated Cable Row","horizontal_pull","lats","posterior upper","['upper_back', 'biceps']","moderate","beginner","True","False","False","reps","['hypertrophy']","['cable']","","[]","row_bilateral","","All","[]","0.6","0.8","0.2","48"
"25","Inverted Row","horizontal_pull","upper_back","posterior upper","['lats', 'rear_delts', 'biceps']","low","beginner","True","False","False","reps","['calisthenics']","['bodyweight', 'rings']","","[]","row_bodyweight","","All","[]","0.4","0.8","0.2","24"
"26","Pull-Up","vertical_pull","lats","posterior upper","['biceps', 'upper_back', 'core']","moderate","intermediate","True","False","False","reps","['calisthenics', 'strength']","['bodyweight', 'pull_up_bar']","","[]","pull_up","","All","[]","0.6","0.8","0.4","48"
"27","Chin-Up","vertical_pull","lats","posterior upper","['biceps', 'upper_back']","moderate","intermediate","True","False","False","reps","['calisthenics', 'strength']","['bodyweight', 'pull_up_bar']","","[]","pull_up","","All","[]","0.6","0.8","0.4","48"
"28","Lat Pulldown","vertical_pull","lats","posterior upper","['biceps', 'upper_back']","low","beginner","True","False","False","reps","['hypertrophy']","['cable']","","[]","pulldown","","All","[]","0.4","0.8","0.2","24"
"29","Muscle-Up","vertical_pull","lats","posterior upper","['chest', 'triceps', 'core']","high","elite","True","True","False","reps","['calisthenics', 'athleticism']","['bodyweight', 'rings', 'pull_up_bar']","","[]","muscle_up","","All","[]","0.7999999999999999","1.0","1.0","48"
"34","Farmer's Carry","carry","forearms","full body","['core', 'upper_back', 'quadriceps']","moderate","beginner","True","False","False","distance","['strongman', 'athleticism']","['dumbbell', 'kettlebell', 'trap_bar']","","[]","carry_bilateral","","All","[]","0.6","0.8","0.2","48"
"35","Suitcase Carry","carry","obliques","full body","['core', 'forearms', 'upper_back']","moderate","beginner","True","False","True","distance","['strongman', 'athleticism']","['dumbbell', 'kettlebell']","","[]","carry_unilateral","","All","[]","0.6","0.8","0.30000000000000004","48"
"36","Overhead Carry","carry","front_delts","full body","['core', 'upper_back']","moderate","intermediate","True","False","False","distance","['strongman', 'mobility']","['dumbbell', 'kettlebell', 'barbell']","","[]","carry_overhead","","All","[]","0.6","0.8","0.4","48"
"37","Plank","isometric","core","anterior upper","['obliques', 'front_delts']","very_low","beginner","False","False","False","time","['calisthenics', 'mobility']","['bodyweight']","","[]","plank","","All","[]","0.1","0.5","0.2","12"
"38","Side Plank","isometric","obliques","anterior upper","['core', 'side_delts']","very_low","beginner","False","False","True","time","['calisthenics', 'mobility']","['bodyweight']","","[]","side_plank","","All","[]","0.1","0.5","0.30000000000000004","12"
"39","Dead Bug","core","core","anterior upper","['hip_flexors']","very_low","beginner","False","False","False","reps","['mobility', 'rehabilitation']","['bodyweight']","","[]","dead_bug","","All","[]","0.1","0.5","0.2","12"
"59","L-Sit Hold","isometric","core","anterior upper","['hip_flexors', 'triceps']","moderate","expert","True","False","False","time","['calisthenics']","['bodyweight', 'parallettes']","","[]","l_sit","","All","[]","0.6","0.8","0.8","48"
"60","Front Lever Hold","isometric","lats","posterior upper","['core', 'front_delts']","high","elite","True","True","False","time","['calisthenics']","['bodyweight', 'pull_up_bar', 'rings']","","[]","front_lever","","All","[]","0.7999999999999999","1.0","1.0","48"
"61","Wall Sit","isometric","quadriceps","anterior lower","['glutes']","low","beginner","True","False","False","time","['endurance', 'isometric']","['bodyweight', 'wall']","","[]","wall_sit","","All","[]","0.4","0.8","0.2","24"
"62","Sprint","plyometric","hamstrings","posterior lower","['quadriceps', 'glutes', 'calves']","very_high","intermediate","True","False","False","distance","['athleticism', 'speed']","['bodyweight']","","[]","sprint","","All","[]","1.0","0.95","0.4","72"
"63","Sled Push","carry","quadriceps","anterior lower","['glutes', 'calves', 'core']","high","beginner","True","False","False","distance","['strongman', 'athleticism']","['sled']","","[]","sled_push","","All","[]","0.7999999999999999","0.95","0.2","48"
"64","Battle Rope Wave","core","core","full body","['front_delts', 'biceps']","moderate","beginner","True","False","False","time","['endurance', 'athleticism']","['battle_rope']","","[]","battle_rope","","All","[]","0.6","0.8","0.2","48"
"65","Turkish Get-Up","core","full_body","full body","['core', 'front_delts', 'glutes']","moderate","advanced","True","False","True","reps","['athleticism', 'mobility']","['kettlebell', 'dumbbell']","","[]","turkish_getup","","All","[]","0.6","0.8","0.7","48"
"127","Conan's Wheel","lunge","quadriceps","anterior lower","['core', 'biceps', 'calves', 'forearms', 'lower_back', 'full_body', 'upper_back']","moderate","intermediate","False","False","False","reps","['strongman', 'powerlifting']","['other']","","['With the weight loaded, take a zurcher hold on the end of the implement. Place the bar in the crook of the elbow and hold onto your wrist. Try to keep the weight off of the forearms.', 'Begin by lifting the weight from the ground. Keep a tight, upright posture as you being to walk, taking short, fast steps. Look up and away as you turn in a circle. Do not hold your breath during the event. Continue walking until you complete one or more complete turns.']","conan_s_wheel","","All","[]","0.4","0.6","0.4","24"
"67","Machine Crunch","core","core","full body","[]","moderate","intermediate","False","False","False","time","['strength']","['machine']","Crunch performed with a machine","['Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position.', 'At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet.', 'After a second pause, slowly return to the starting position as you breathe in.', 'Repeat the movement for the prescribed amount of repetitions.']","crunch","","All","[]","0.4","0.6","0.4","24"
"69","Adductor/Groin","mobility","adductors","lower body","[]","moderate","intermediate","False","False","False","reps","['stretching']","['none']","Groin Split Leg Stretch","['Lie on your back with your feet raised towards the ceiling.', 'Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position.', 'Attempt to squeeze your legs together for 10 or more seconds, while your partner prevents you from doing so.', 'Now, relax the muscles in your legs as your partner pushes your feet apart, stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.']","adductor_groin","","Mobility","[]","0.4","0.6","0.4","24"
"70","Advanced Kettlebell Windmill","isolation","core","full body","['glutes', 'hamstrings', 'full_body']","moderate","intermediate","False","False","False","reps","['strength']","['kettlebell']","","['Clean and press a kettlebell overhead with one arm.', 'Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell.', 'Lower yourself as far as possible.', 'Pause for a second and reverse the motion back to the starting position.']","advanced_windmill","","Bodybuilding","[]","0.4","0.6","0.4","24"
"222","One-Arm Kettlebell Swings","lunge","hamstrings","posterior lower","['calves', 'glutes', 'lower_back', 'full_body']","moderate","intermediate","False","False","False","reps","['strength']","['kettlebell']","","[]","one_arm_swings","","All","[]","0.4","0.6","0.4","24"
"71","Air Bike","isolation","core","full body","[]","moderate","intermediate","False","False","False","reps","['strength']","['none']","","['Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position.', 'Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position.', 'Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out.', 'Go back to the initial position as you breathe in.', 'Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale.', 'Continue alternating in this manner until all of the recommended repetitions for each side have been completed.']","air_bike","","Bodybuilding","[]","0.4","0.6","0.4","24"
"72","Alternate Heel Touchers","isolation","core","full body","[]","moderate","intermediate","False","False","False","reps","['strength']","['none']","","['Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position.', 'Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement.', 'Now go back slowly to the starting position as you inhale.', 'Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition.', 'Continue alternating sides in this manner until all prescribed repetitions are done.']","alternate_heel_touchers","","Bodybuilding","[]","0.4","0.6","0.4","24"
"73","Ankle Circles","mobility","calves","posterior lower","[]","moderate","intermediate","False","False","False","reps","['stretching']","['none']","","['Use a sturdy object like a squat rack to hold yourself.', 'Lift the right leg in the air (just around 2 inches from the floor) and perform a circular motion with the big toe. Pretend that you are drawing a big circle with it. Tip: One circle equals 1 repetition. Breathe normally as you perform the movement.', 'When you are done with the right foot, then repeat with the left leg.']","ankle_circles","","Mobility","[]","0.4","0.6","0.4","24"
"74","Ankle On The Knee","mobility","glutes","posterior lower","[]","moderate","intermediate","False","False","False","reps","['stretching']","['none']","","['From a lying position, bend your knees and keep your feet on the floor.', 'Place your ankle of one foot on your opposite knee.', 'Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.']","ankle_on_the_knee","","Mobility","[]","0.4","0.6","0.4","24"
"75","Anterior Tibialis-SMR","mobility","calves","posterior lower","[]","moderate","intermediate","False","False","False","reps","['stretching']","['other']","","['Begin seated on the ground with your legs bent and your feet on the floor.', 'Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg.']","anterior_tibialis_smr","","Mobility","[]","0.4","0.6","0.4","24"
"76","Arm Circles","mobility","full_body","full body","['upper_back']","moderate","intermediate","False","False","False","reps","['stretching']","['none']","","['Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position.', 'Slowly start to make circles of about 1 foot in diameter with each outstretched arm. Breathe normally as you perform the movement.', 'Continue the circular motion of the outstretched arms for about ten seconds. Then reverse the movement, going the opposite direction.']","arm_circles","","Mobility","[]","0.4","0.6","0.4","24"
"77","Around The Worlds","isolation","chest","anterior upper","['full_body']","moderate","intermediate","False","False","False","reps","['strength']","['dumbbell']","","['Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position.', 'Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement.', 'Reverse the movement to return the weight to the starting position as you exhale.']","around_the_worlds","","Bodybuilding","[]","0.4","0.6","0.4","24"
"78","Atlas Stone Trainer","isolation","lower_back","posterior lower","['biceps', 'forearms', 'glutes', 'hamstrings', 'quadriceps']","moderate","intermediate","False","False","False","reps","['strongman', 'powerlifting']","['other']","","[""This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe."", 'Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips.', 'Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest.', 'Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions.']","atlas_stone_trainer","","Bodybuilding","[]","0.4","0.6","0.4","24"
"79","Atlas Stones","isolation","lower_back","posterior lower","['core', 'adductors', 'biceps', 'calves', 'forearms', 'glutes', 'hamstrings', 'full_body', 'quadriceps', 'upper_back']","moderate","intermediate","False","False","False","reps","['strongman', 'powerlifting']","['other']","","['Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold.', 'Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground.', 'As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs.', 'Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible.']","atlas_stones","","Bodybuilding","[]","0.4","0.6","0.4","24"
"385","Dumbbell Thrusters","squat","quadriceps","lower body","[]","moderate","intermediate","True","False","False","reps","[]","[]","","[]","","","CrossFit","[]","0.6","0.8","0.4","48"
"80","Back Flyes - With Bands","isolation","full_body","full body","['full_body', 'triceps']","moderate","intermediate","False","False","False","reps","['strength']","['bands']","","['Run a band around a stationary post like that of a squat rack.', 'Grab the band by the handles and stand back so that the tension in the band rises.', 'Extend and lift the arms straight in front of you. Tip: Your arms should be straight and parallel to the floor while perpendicular to your torso. Your feet should be firmly planted on the floor spread at shoulder width. This will be your starting position.', 'As you exhale, move your arms to the sides and back. Keep your arms extended and parallel to the floor. Continue the movement until the arms are extended to your sides.', 'After a pause, go back to the original position as you inhale.', 'Repeat for the recommended amount of repetitions.']","back_flyes_with_s","","Bodybuilding","[]","0.4","0.6","0.4","24"
"81","Backward Drag","lunge","quadriceps","anterior lower","['calves', 'forearms', 'glutes', 'hamstrings', 'lower_back']","moderate","intermediate","False","False","False","reps","['strongman', 'powerlifting']","['other']","","['Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto.', 'Begin the exercise by moving backwards for a given distance. Leaning back, extend through the legs for short steps to move as quickly as possible.']","backward_drag","","All","[]","0.4","0.6","0.4","24"
"82","Balance Board","lunge","calves","posterior lower","['hamstrings', 'quadriceps']","moderate","intermediate","False","False","False","reps","['strength']","['other']","","['Place a balance board in front of you.', 'Stand up on it and try to balance yourself.', 'Hold the balance for as long as desired.']","balance_board","","All","[]","0.4","0.6","0.4","24"
"83","Band Skullcrusher","isolation","triceps","posterior upper","['forearms']","moderate","intermediate","False","False","False","reps","['strength']","['bands']","Skullcrusher performed with bands","['Secure a band to the base of a rack or the bench. Lay on the bench so that the band is lined up with your head.', 'Take hold of the band, raising your elbows so that the upper arm is perpendicular to the floor. With the elbow flexed, the band should be above your head. This will be your starting position.', 'Extend through the elbow to straighten your arm, keeping your upper arm in place. Pause at the top of the motion, and return to the starting position.']","skullcrusher","","Bodybuilding","[]","0.4","0.6","0.4","24"
